COD,NOMBRE,MODELO,PRECIO,FECHA_LANZAMIENTO
f8f7ae42-7f2d-4e8d-8c8c-2f6c4c7d0c9b,Iron Man Edition,MARVEL,19.99,2023-10-15
e1de7b18-6b1d-4a05-9f0c-8c1c4a7e0f9a,Captain America Shield,MARVEL,29.99,2023-11-21
a5bc2d73-4e9a-4c8b-9a1d-7b3f5a8d2c1e,Disney Princess Castle,DISNEY,39.99,2024-02-14
b2a9c4e8-1d2c-4b9a-8c7a-3d6f5c9a2b1c,Mickey Mouse Plush,DISNEY,9.99,2024-03-05
c3d6e5f7-8a2b-4c9d-1e2a-5b7c4d9f2a1e,Naruto Uzumaki Figure,ANIME,24.99,2023-09-30
d4e5f6a7-2b3c-1d9e-4a5b-8c2a7d9f1c8,Dragon Ball Z Goku Statue,ANIME,34.99,2023-12-25
e5f6a7b8-3c4d-2e9f-5a6b-9c2d8f1a7c,LeBron James Action Figure,DEPORTE,19.99,2023-07-11
f6a7b8c9-4d5e-3f9a-6b7c-1d8e2f7a9c,Simone Biles Collectible,DEPORTE,14.99,2023-08-29
g7b8c9d1-5e6f-4a9b-7c8d-2e1f9a3b6c,Taylor Swift Pop Star, MUSICA,27.99,2023-05-18
h8c9d1e2-6f7a-5b9c-8d1e-3f2a9b4c7d,Beyoncé Queen Figure,MUSICA,32.99,2023-06-30
i9d1e2f3-7a8b-6c9d-1e2f-4a7b8c2d5e,Transformer Robot Toy,OTROS,22.99,2024-01-10
j1e2f3a4-8b9c-7d1e-2f3a-5b6c7d9e1,Space Alien Creature,OTROS,16.99,2024-04-02
k2f3a4b5-9c6d-8e1f-3a4b-7c9d1e2f,Black Panther Statue,MARVEL,39.99,2023-04-15
l3a4b5c6-1d2e-9f3a-4b5c-8d1e2f7a,Toy Story Woody Figure,DISNEY,17.99,2024-05-20
m4b5c6d7-2e3f-1a4b-5c6d-9e1f2a7b,Hello Kitty Plush,DISNEY,12.99,2024-06-08
n5c6d7e8-3f4a-2b5c-6d7e-1f2a9b3c,One Piece Luffy Figure,ANIME,29.99,2023-02-28
d7e8f9-4a5b-3c6d-7e8f-2a9b4c1d,Sailor Moon Crystal Statue,ANIME,37.99,2023-03-12
p7e8f9a1-5b6c-4d7e-8f9a-3b6c1d2e,Michael Jordan Collectible,DEPORTE,24.99,2023-01-17
